実施回,問題とタイトル,質問内容,成否（各アンサー）,選択肢,解説,画像URL
第34回：令和３年度（2022年）,問題1 人間の尊厳と自立,著書『ケアの本質?生きることの意味』の中で、「一人の人格をケアするとは、最も深い意味で、その人が成長すること、自己実現することをたすけることである」と述べた人物として、正しいものを１つ選びなさい。,1 不正解,神谷美恵子,神谷美恵子は、ハンセン病療養所である長島愛生園に勤務した精神科医である。1966年に著書『生きがいについて』を発表した。,
第34回：令和３年度（2022年）,問題1 人間の尊厳と自立,著書『ケアの本質?生きることの意味』の中で、「一人の人格をケアするとは、最も深い意味で、その人が成長すること、自己実現することをたすけることである」と述べた人物として、正しいものを１つ選びなさい。,2 不正解,糸賀一雄,糸賀一雄は、知的障害児施設である近江学園、重症心身障害児施設であるびわこ学園を設立した人物である。「この子らを世の光に」という言葉を残している。,
第34回：令和３年度（2022年）,問題1 人間の尊厳と自立,著書『ケアの本質?生きることの意味』の中で、「一人の人格をケアするとは、最も深い意味で、その人が成長すること、自己実現することをたすけることである」と述べた人物として、正しいものを１つ選びなさい。,3 不正解,"フローレンス・ナイチンゲール（Nightingale,F.）",フローレンス・ナイチンゲールは、クリミア戦争で傷を負ったり病気になった兵士の看病にあたった人物である。「近代看護教育の母」と呼ばれている。また、診療の補助と療養上の世話を看護の柱とした。,
第34回：令和３年度（2022年）,問題1 人間の尊厳と自立,著書『ケアの本質?生きることの意味』の中で、「一人の人格をケアするとは、最も深い意味で、その人が成長すること、自己実現することをたすけることである」と述べた人物として、正しいものを１つ選びなさい。,4 正解,"ミルトン・メイヤロフ（Mayeroff,M.）",ミルトン・メイヤロフは、アメリカの哲学者である。1971年に、ケアについての考え方を示した『ケアの本質?生きることの意味』を発表した。,
第34回：令和３年度（2022年）,問題1 人間の尊厳と自立,著書『ケアの本質?生きることの意味』の中で、「一人の人格をケアするとは、最も深い意味で、その人が成長すること、自己実現することをたすけることである」と述べた人物として、正しいものを１つ選びなさい。,5 不正解,"ベンクト・ニィリエ（Nirje,B.）",ベンクト・ニィリエは、ノーマライゼーションの考え方を提唱したバンク・ミケルセンに賛同し、知的障害者に対するノーマライゼーション（障害を持つ人が、障害がない人と同じ日常生活を送れるような環境整備）を目的として８つの原則を示した。「ノーマライゼーションの育ての父」と呼ばれている。,
第34回：令和３年度（2022年）,問題2 人間の尊厳と自立,Ａさん（80歳、女性、要介護１）は、筋力や理解力の低下がみられ、訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は、同居している長男（53歳、無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて、ほとんど外出しないで家にいる。ある時、Aさんは訪問介護員（ホームヘルパー）に、「長男は暴力がひどくてね。この間も殴られて、とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は、Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち、最も適切なものを１つ選びなさい。,1 正解,長男の虐待を疑い、上司に報告し、市町村に通報する。,高齢者虐待防止法では、家族などの養護者による虐待を発見した場合や虐待を受けていると思われる場合は、速やかに市町村に通報する（努力義務）と定めている。また、高齢者の生命または身体に重大な危険が生じている場合は、通報が義務とされている。,
第34回：令和３年度（2022年）,問題2 人間の尊厳と自立,Ａさん（80歳、女性、要介護１）は、筋力や理解力の低下がみられ、訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は、同居している長男（53歳、無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて、ほとんど外出しないで家にいる。ある時、Aさんは訪問介護員（ホームヘルパー）に、「長男は暴力がひどくてね。この間も殴られて、とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は、Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち、最も適切なものを１つ選びなさい。,2 不正解,長男の仕事が見つかるようにハローワークを紹介する。,Ａさんの長男の仕事を探すより、Ａさんに対する長男の虐待への対応が優先される。どうすればＡさんを虐待から守ることができるかを考えるべきである。,
第34回：令和３年度（2022年）,問題2 人間の尊厳と自立,Ａさん（80歳、女性、要介護１）は、筋力や理解力の低下がみられ、訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は、同居している長男（53歳、無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて、ほとんど外出しないで家にいる。ある時、Aさんは訪問介護員（ホームヘルパー）に、「長男は暴力がひどくてね。この間も殴られて、とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は、Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち、最も適切なものを１つ選びなさい。,3 不正解,Ａさんの気持ちを大切にして何もしない。,Ａさんは「長男には言わないでね」と言っているが、放置すべき状況ではない。高齢者虐待の相談や通報は、守秘義務違反にはならないため、市町村への通報を考えるべきである。,
第34回：令和３年度（2022年）,問題2 人間の尊厳と自立,Ａさん（80歳、女性、要介護１）は、筋力や理解力の低下がみられ、訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は、同居している長男（53歳、無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて、ほとんど外出しないで家にいる。ある時、Aさんは訪問介護員（ホームヘルパー）に、「長男は暴力がひどくてね。この間も殴られて、とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は、Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち、最も適切なものを１つ選びなさい。,4 不正解,すぐに長男を別室に呼び、事実を確認する。,長男への事実確認は、Ａさんへのさらなる虐待につながることも考えられる。長男に確認せず、市町村への通報を考えるべきである。,
第34回：令和３年度（2022年）,問題2 人間の尊厳と自立,Ａさん（80歳、女性、要介護１）は、筋力や理解力の低下がみられ、訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は、同居している長男（53歳、無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて、ほとんど外出しないで家にいる。ある時、Aさんは訪問介護員（ホームヘルパー）に、「長男は暴力がひどくてね。この間も殴られて、とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は、Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち、最も適切なものを１つ選びなさい。,5 不正解,長男の暴力に気づいたかを近所の人に確認する。,Ａさんのからだに複数のあざを確認し、Ａさんからも話を聞いている。近所の人に確認する必要はなく、市町村への通報を考えるべきである。,
第34回：令和３年度（2022年）,問題3 人間関係とコミュニケーション,介護福祉職はＢさんから、「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊（はいかい）するので、心身共に疲れてきた」と相談された。介護福祉職は、「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日、介護福祉職はＢさんに対する自身の発言を振り返り、不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか、最も適切なものを１つ選びなさい。,1 不正解,「お母さんに施設へ入所してもらうことを検討してはどうですか」,家族への支援で、介護福祉職は家族が抱える苦労や苦痛を受容し、共感する必要がある。事例の相談内容は、母親の介護がうまくいかず、心身共に疲れてきたというものである。施設入所の検討を発言することは適切とはいえない。,
第34回：令和３年度（2022年）,問題3 人間関係とコミュニケーション,介護福祉職はＢさんから、「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊（はいかい）するので、心身共に疲れてきた」と相談された。介護福祉職は、「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日、介護福祉職はＢさんに対する自身の発言を振り返り、不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか、最も適切なものを１つ選びなさい。,2 不正解,「私も疲れているので、よくわかります」,Ｂさんの心身の疲れと介護福祉職の疲れは、比較できるものではない。「私も疲れているので、よくわかります」という発言では、相談者に共感したとはいえない。,
第34回：令和３年度（2022年）,問題3 人間関係とコミュニケーション,介護福祉職はＢさんから、「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊（はいかい）するので、心身共に疲れてきた」と相談された。介護福祉職は、「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日、介護福祉職はＢさんに対する自身の発言を振り返り、不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか、最も適切なものを１つ選びなさい。,3 不正解,「認知症（dementia）の方を介護しているご家族は、皆さん疲れていますよ」,「皆さん疲れていますよ」という発言は、Ｂさんに「疲れても仕方がない」と受け止められる可能性がある。相談者の気持ちに寄り添った発言とはいえない。,
第34回：令和３年度（2022年）,問題3 人間関係とコミュニケーション,介護福祉職はＢさんから、「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊（はいかい）するので、心身共に疲れてきた」と相談された。介護福祉職は、「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日、介護福祉職はＢさんに対する自身の発言を振り返り、不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか、最も適切なものを１つ選びなさい。,4 不正解,「近所の人に助けてもらえるように、私から言っておきます」,Ｂさんは、誰かに助けてもらいたいという相談はしていない。介護福祉職の判断だけで、近所の人に手助けを依頼することは適切ではない。,
第34回：令和３年度（2022年）,問題3 人間関係とコミュニケーション,介護福祉職はＢさんから、「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊（はいかい）するので、心身共に疲れてきた」と相談された。介護福祉職は、「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日、介護福祉職はＢさんに対する自身の発言を振り返り、不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか、最も適切なものを１つ選びなさい。,5 正解,「お母さんのために頑張ってきたんですね」,「頑張ってきたんですね」という発言は、Ｂさんのこれまでの介護を肯定することになり、介護福祉職に分かってもらえているという安心感をＢさんに与える。Ｂさんの介護や相談内容を受容している発言であり、最も適切である。,
第33回：令和２年度（2021年）,問題1 人間の尊厳と自立,人権や福祉の考え方に影響を与えた人物に関する次の記述のうち、正しいものを１つ選びなさい。,1 正解,"リッチモンド（Richmond,M.）は、『ソーシャル・ケース・ワークとは何か』をまとめ、現在の社会福祉、介護福祉に影響を及ぼした。",リッチモンドは、1922年（大正11年）に『ソーシャル・ケース・ワークとは何か』をまとめた。また、ケースワーク論を確立した人物で、「ケースワークの母」とよばれている。,
第33回：令和２年度（2021年）,問題1 人間の尊厳と自立,人権や福祉の考え方に影響を与えた人物に関する次の記述のうち、正しいものを１つ選びなさい。,2 不正解,"フロイト（Freud,S.）がまとめた『種の起源』の考え方は、後の「優生思想」につながった。",『種の起源』をまとめたのは、ダーウィンである。,
第33回：令和２年度（2021年）,問題1 人間の尊厳と自立,人権や福祉の考え方に影響を与えた人物に関する次の記述のうち、正しいものを１つ選びなさい。,3 不正解,"マルサス（Malthus,T.）は、人間の無意識の研究を行って、『精神分析学入門』をまとめた。",『精神分析学入門』をまとめたのは、フロイトである。,
第33回：令和２年度（2021年）,問題1 人間の尊厳と自立,人権や福祉の考え方に影響を与えた人物に関する次の記述のうち、正しいものを１つ選びなさい。,4 不正解,"ヘレン・ケラー（Keller,H.）は、『看護覚え書』の中で「療養上の世話」を看護の役割として示した。",『看護覚え書』をまとめたのは、ナイチンゲールである。,
第33回：令和２年度（2021年）,問題1 人間の尊厳と自立,人権や福祉の考え方に影響を与えた人物に関する次の記述のうち、正しいものを１つ選びなさい。,5 不正解,"ダーウィン（Darwin,C.）は、『人口論』の中で貧困原因を個人の人格の問題とした。",『人口論』をまとめたのは、マルサスである。,
第33回：令和２年度（2021年）,問題2 人間の尊厳と自立,自宅で生活しているＡさん（87歳、男性、要介護３）は、７年前に脳梗塞（cerebralinfarction）で左片麻痺（ひだりかたまひ）となり、訪問介護（ホームヘルプサービス）を利用していた。Ａさんは食べることを楽しみにしていたが、最近、食事中にむせることが多くなり、誤嚥（ごえん）を繰り返していた。誤嚥（ごえん）による緊急搬送の後、医師は妻に、「今後も自宅で生活を続けるならば、胃ろうを勧める」と話した。妻は仕方がないと諦めていたが、別に暮らしている長男は胃ろうの造設について納得していなかった。長男が実家を訪れるたびに、Ａさんの今後の生活をめぐって口論が繰り返されていた。妻は訪問介護員（ホームヘルパー）にどうしたらよいか相談した。介護福祉職の職業倫理に基づく対応として、最も適切なものを１つ選びなさい。,1 不正解,「医療的なことについては発言できません」,介護福祉職の職業倫理を定めたものとして、1995年（平成７年）に日本介護福祉士会が策定した「日本介護福祉士会倫理綱領」がある。その中では、利用者の自己決定を最大限尊重したり、利用者の真のニーズを受け止めて代弁したりするなど、介護福祉士としての基本的な姿勢が示されている。訪問介護員（ホームヘルパー）は、医師の話、Ａさんの妻や長男の考えをＡさんに伝え、今後の生活について「Ａさん自身は、どのようにお考えなのでしょうか」とＡさんの意向を確認することが適切な対応といえる。医療的なことについては発言を拒絶したり、医師の判断に従うよう誘導したりするのは適切な対応とはいえない。,
第33回：令和２年度（2021年）,問題2 人間の尊厳と自立,自宅で生活しているＡさん（87歳、男性、要介護３）は、７年前に脳梗塞（cerebralinfarction）で左片麻痺（ひだりかたまひ）となり、訪問介護（ホームヘルプサービス）を利用していた。Ａさんは食べることを楽しみにしていたが、最近、食事中にむせることが多くなり、誤嚥（ごえん）を繰り返していた。誤嚥（ごえん）による緊急搬送の後、医師は妻に、「今後も自宅で生活を続けるならば、胃ろうを勧める」と話した。妻は仕方がないと諦めていたが、別に暮らしている長男は胃ろうの造設について納得していなかった。長男が実家を訪れるたびに、Ａさんの今後の生活をめぐって口論が繰り返されていた。妻は訪問介護員（ホームヘルパー）にどうしたらよいか相談した。介護福祉職の職業倫理に基づく対応として、最も適切なものを１つ選びなさい。,2 不正解,「医師の判断なら、それに従うのが良いと思います」,介護福祉職の職業倫理を定めたものとして、1995年（平成７年）に日本介護福祉士会が策定した「日本介護福祉士会倫理綱領」がある。その中では、利用者の自己決定を最大限尊重したり、利用者の真のニーズを受け止めて代弁したりするなど、介護福祉士としての基本的な姿勢が示されている。訪問介護員（ホームヘルパー）は、医師の話、Ａさんの妻や長男の考えをＡさんに伝え、今後の生活について「Ａさん自身は、どのようにお考えなのでしょうか」とＡさんの意向を確認することが適切な対応といえる。医療的なことについては発言を拒絶したり、医師の判断に従うよう誘導したりするのは適切な対応とはいえない。,
第33回：令和２年度（2021年）,問題2 人間の尊厳と自立,自宅で生活しているＡさん（87歳、男性、要介護３）は、７年前に脳梗塞（cerebralinfarction）で左片麻痺（ひだりかたまひ）となり、訪問介護（ホームヘルプサービス）を利用していた。Ａさんは食べることを楽しみにしていたが、最近、食事中にむせることが多くなり、誤嚥（ごえん）を繰り返していた。誤嚥（ごえん）による緊急搬送の後、医師は妻に、「今後も自宅で生活を続けるならば、胃ろうを勧める」と話した。妻は仕方がないと諦めていたが、別に暮らしている長男は胃ろうの造設について納得していなかった。長男が実家を訪れるたびに、Ａさんの今後の生活をめぐって口論が繰り返されていた。妻は訪問介護員（ホームヘルパー）にどうしたらよいか相談した。介護福祉職の職業倫理に基づく対応として、最も適切なものを１つ選びなさい。,3 正解,「Ａさん自身は、どのようにお考えなのでしょうか」,介護福祉職の職業倫理を定めたものとして、1995年（平成７年）に日本介護福祉士会が策定した「日本介護福祉士会倫理綱領」がある。その中では、利用者の自己決定を最大限尊重したり、利用者の真のニーズを受け止めて代弁したりするなど、介護福祉士としての基本的な姿勢が示されている。訪問介護員（ホームヘルパー）は、医師の話、Ａさんの妻や長男の考えをＡさんに伝え、今後の生活について「Ａさん自身は、どのようにお考えなのでしょうか」とＡさんの意向を確認することが適切な対応といえる。医療的なことについては発言を拒絶したり、医師の判断に従うよう誘導したりするのは適切な対応とはいえない。,
第33回：令和２年度（2021年）,問題2 人間の尊厳と自立,自宅で生活しているＡさん（87歳、男性、要介護３）は、７年前に脳梗塞（cerebralinfarction）で左片麻痺（ひだりかたまひ）となり、訪問介護（ホームヘルプサービス）を利用していた。Ａさんは食べることを楽しみにしていたが、最近、食事中にむせることが多くなり、誤嚥（ごえん）を繰り返していた。誤嚥（ごえん）による緊急搬送の後、医師は妻に、「今後も自宅で生活を続けるならば、胃ろうを勧める」と話した。妻は仕方がないと諦めていたが、別に暮らしている長男は胃ろうの造設について納得していなかった。長男が実家を訪れるたびに、Ａさんの今後の生活をめぐって口論が繰り返されていた。妻は訪問介護員（ホームヘルパー）にどうしたらよいか相談した。介護福祉職の職業倫理に基づく対応として、最も適切なものを１つ選びなさい。,4 不正解,「息子さんの気持ちより、一緒に暮らす奥さんの気持ちが優先されますよ」,介護福祉職の職業倫理を定めたものとして、1995年（平成７年）に日本介護福祉士会が策定した「日本介護福祉士会倫理綱領」がある。その中では、利用者の自己決定を最大限尊重したり、利用者の真のニーズを受け止めて代弁したりするなど、介護福祉士としての基本的な姿勢が示されている。訪問介護員（ホームヘルパー）は、医師の話、Ａさんの妻や長男の考えをＡさんに伝え、今後の生活について「Ａさん自身は、どのようにお考えなのでしょうか」とＡさんの意向を確認することが適切な対応といえる。医療的なことについては発言を拒絶したり、医師の判断に従うよう誘導したりするのは適切な対応とはいえない。,
第33回：令和２年度（2021年）,問題2 人間の尊厳と自立,自宅で生活しているＡさん（87歳、男性、要介護３）は、７年前に脳梗塞（cerebralinfarction）で左片麻痺（ひだりかたまひ）となり、訪問介護（ホームヘルプサービス）を利用していた。Ａさんは食べることを楽しみにしていたが、最近、食事中にむせることが多くなり、誤嚥（ごえん）を繰り返していた。誤嚥（ごえん）による緊急搬送の後、医師は妻に、「今後も自宅で生活を続けるならば、胃ろうを勧める」と話した。妻は仕方がないと諦めていたが、別に暮らしている長男は胃ろうの造設について納得していなかった。長男が実家を訪れるたびに、Ａさんの今後の生活をめぐって口論が繰り返されていた。妻は訪問介護員（ホームヘルパー）にどうしたらよいか相談した。介護福祉職の職業倫理に基づく対応として、最も適切なものを１つ選びなさい。,5 不正解,「息子さんと一緒に、医師の話を聞きに行ってみてください」,介護福祉職の職業倫理を定めたものとして、1995年（平成７年）に日本介護福祉士会が策定した「日本介護福祉士会倫理綱領」がある。その中では、利用者の自己決定を最大限尊重したり、利用者の真のニーズを受け止めて代弁したりするなど、介護福祉士としての基本的な姿勢が示されている。訪問介護員（ホームヘルパー）は、医師の話、Ａさんの妻や長男の考えをＡさんに伝え、今後の生活について「Ａさん自身は、どのようにお考えなのでしょうか」とＡさんの意向を確認することが適切な対応といえる。医療的なことについては発言を拒絶したり、医師の判断に従うよう誘導したりするのは適切な対応とはいえない。,
第33回：令和２年度（2021年）,問題3 人間関係とコミュニケーション,人間関係における役割葛藤の例として、適切なものを１つ選びなさい。,1 不正解,就労継続支援Ｂ型の利用者が、生活支援員の期待に応えようとして作業態度をまねる。,役割葛藤とは、個人に期待される複数の役割の間で思い悩むことをいう。この例で説明しているのは役割取得である。,
第33回：令和２年度（2021年）,問題3 人間関係とコミュニケーション,人間関係における役割葛藤の例として、適切なものを１つ選びなさい。,2 正解,家族介護者が、仕事と介護の両立への期待に応えられるかどうか悩む。,家族介護者は、仕事と介護という複数の役割について、これらの両立への期待に応えられるかどうか悩んでおり、役割葛藤の例として適切である。,
第33回：令和２年度（2021年）,問題3 人間関係とコミュニケーション,人間関係における役割葛藤の例として、適切なものを１つ選びなさい。,3 不正解,通所介護（デイサービス）の利用者が、レクリエーションを楽しんでいる利用者の役を演じる。,この例で説明しているのは役割演技である。,
第33回：令和２年度（2021年）,問題3 人間関係とコミュニケーション,人間関係における役割葛藤の例として、適切なものを１つ選びなさい。,4 不正解,就労移行支援の利用者が、採用面接の模擬訓練中にふざけて冗談を言ってしまう。,この例で説明しているのは役割距離である。,
第33回：令和２年度（2021年）,問題3 人間関係とコミュニケーション,人間関係における役割葛藤の例として、適切なものを１つ選びなさい。,5 不正解,高齢者が、家事を行う家族に代わり、孫の遊び相手の役割を担う。,この例で説明しているのは役割適応である。,
第32回：令和元年度（2020年）,問題1 人間の尊厳と自立,Ａさん（78歳、女性、要介護３）は、訪問介護（ホームヘルプサービス）を利用している。72歳から人工透析を受けている。透析を始めた頃から死を意識するようになり、延命治療を選択する意思決定の計画書を作成していた。しかし、最近では、最期の時を自宅で静かに過ごしたいと思い、以前の計画のままでよいか気持ちに迷いが出てきたので、訪問介護（ホームヘルプサービス）のサービス提供責任者に相談した。サービス提供責任者の対応として、最も適切なものを１つ選びなさい。,1 不正解,「この計画書は、医療職が作成するものですよ」,「人生の最終段階における医療・ケアの決定プロセスに関するガイドライン」（厚生労働省）によると、人生の最終段階における医療・ケアの在り方は、「医療・ケアを受ける本人が多専門職種の医療・介護従事者から構成される医療・ケアチームと十分な話し合いを行い、本人による意思決定を基本としたうえで、人生の最終段階における医療・ケアを進めることが最も重要な原則である」としている。延命治療を選択する意思決定の計画書を、本人の意思によらず、医療職が作成するものというのは、不適切である。,
第32回：令和元年度（2020年）,問題1 人間の尊厳と自立,Ａさん（78歳、女性、要介護３）は、訪問介護（ホームヘルプサービス）を利用している。72歳から人工透析を受けている。透析を始めた頃から死を意識するようになり、延命治療を選択する意思決定の計画書を作成していた。しかし、最近では、最期の時を自宅で静かに過ごしたいと思い、以前の計画のままでよいか気持ちに迷いが出てきたので、訪問介護（ホームヘルプサービス）のサービス提供責任者に相談した。サービス提供責任者の対応として、最も適切なものを１つ選びなさい。,2 不正解,「一度作成した計画書は、個人の意向で変更するのは難しいですよ」,選択肢１のガイドラインの趣旨より、当該計画書を本人の意向で変更することが難しいというのは、不適切である。,
第32回：令和元年度（2020年）,問題1 人間の尊厳と自立,Ａさん（78歳、女性、要介護３）は、訪問介護（ホームヘルプサービス）を利用している。72歳から人工透析を受けている。透析を始めた頃から死を意識するようになり、延命治療を選択する意思決定の計画書を作成していた。しかし、最近では、最期の時を自宅で静かに過ごしたいと思い、以前の計画のままでよいか気持ちに迷いが出てきたので、訪問介護（ホームヘルプサービス）のサービス提供責任者に相談した。サービス提供責任者の対応として、最も適切なものを１つ選びなさい。,3 正解,「意思確認のための話合いは、何度でもできますよ」,選択肢１のガイドラインでは、「本人の意思は変化しうるものであることを踏まえ、本人が自らの意思をその都度示し、伝えられるような支援が医療・ケアチームにより行われ、本人との話し合いが繰り返し行われることが重要である」としている。従って、意思確認のための話合いが何度でもできることを伝えたのは、適切な対応である。,
第32回：令和元年度（2020年）,問題1 人間の尊厳と自立,Ａさん（78歳、女性、要介護３）は、訪問介護（ホームヘルプサービス）を利用している。72歳から人工透析を受けている。透析を始めた頃から死を意識するようになり、延命治療を選択する意思決定の計画書を作成していた。しかし、最近では、最期の時を自宅で静かに過ごしたいと思い、以前の計画のままでよいか気持ちに迷いが出てきたので、訪問介護（ホームヘルプサービス）のサービス提供責任者に相談した。サービス提供責任者の対応として、最も適切なものを１つ選びなさい。,4 不正解,「そんなに心配なら、特別養護老人ホームに入所できますよ」,Ａさんは、最期の時を自宅で静かに過ごしたいと思っているので、特別養護老人ホームへの入所を提案するのは、不適切である。,
第32回：令和元年度（2020年）,問題1 人間の尊厳と自立,Ａさん（78歳、女性、要介護３）は、訪問介護（ホームヘルプサービス）を利用している。72歳から人工透析を受けている。透析を始めた頃から死を意識するようになり、延命治療を選択する意思決定の計画書を作成していた。しかし、最近では、最期の時を自宅で静かに過ごしたいと思い、以前の計画のままでよいか気持ちに迷いが出てきたので、訪問介護（ホームヘルプサービス）のサービス提供責任者に相談した。サービス提供責任者の対応として、最も適切なものを１つ選びなさい。,5 不正解,「この計画書は、在宅ではなく病院での治療を想定したものですよ」,Ａさんは、計画書そのものの見直しについて相談しているのだから、当該計画書を前提とする対応は、不適切である。Aさんの迷いや在宅医療継続に対する不安をまず受容する。,
第32回：令和元年度（2020年）,問題2 人間の尊厳と自立,利用者の意思を代弁することを表す用語として、最も適切なものを１つ選びなさい。,1 不正解,インフォームドコンセント（informedconsent）,インフォームドコンセントとは、医療行為（または介護）の目的や内容を十分に説明した上で、患者（または利用者）の同意を得ることをいう。,
第32回：令和元年度（2020年）,問題2 人間の尊厳と自立,利用者の意思を代弁することを表す用語として、最も適切なものを１つ選びなさい。,2 不正解,ストレングス（strength）,ストレングスとは、利用者一人一人がもっている意欲、積極性、治癒力、回復力、願望といった「強み」をいう。,
第32回：令和元年度（2020年）,問題2 人間の尊厳と自立,利用者の意思を代弁することを表す用語として、最も適切なものを１つ選びなさい。,3 不正解,パターナリズム（paternalism）,パターナリズムとは、強い立場にある者が、弱い立場の者の利益になるという理由から、その弱い立場の者の意志にかかわらず行動に干渉したり、介入したりすることをいう。,
第32回：令和元年度（2020年）,問題2 人間の尊厳と自立,利用者の意思を代弁することを表す用語として、最も適切なものを１つ選びなさい。,4 不正解,エンパワメント（empowerment）,エンパワメントとは、利用者の意欲や本来もっている潜在的な力を引き出したり、利用者が主体性をもって自己決定していけるように支援していくことをいう。,
第32回：令和元年度（2020年）,問題2 人間の尊厳と自立,利用者の意思を代弁することを表す用語として、最も適切なものを１つ選びなさい。,5 正解,アドボカシー（advocacy）,アドボカシーとは、利用者の権利を擁護するために、援助者が利用者に代わって、権利やニーズを主張することをいう。「代弁」「権利擁護」などと訳される。,
第32回：令和元年度（2020年）,問題3 人間関係とコミュニケーション,他者とのコミュニケーションを通した自己覚知として、最も適切なものを１つ選びなさい。,1 不正解,自己の弱みより強みを重視する。,自己覚知とは、自己の思想、価値観、感情や言動のメカニズム、パーソナリティなどについて、客観的に理解することをいう。自己覚知のためには、自分自身の強み、弱みをともに理解する必要があるため、弱みより強みを重視するというのは、不適切である。,
第32回：令和元年度（2020年）,問題3 人間関係とコミュニケーション,他者とのコミュニケーションを通した自己覚知として、最も適切なものを１つ選びなさい。,2 正解,自己の感情の動きとその背景を洞察する。,自己の感情の動きとその背景を洞察することは、まさに自己覚知といえる。,
第32回：令和元年度（2020年）,問題3 人間関係とコミュニケーション,他者とのコミュニケーションを通した自己覚知として、最も適切なものを１つ選びなさい。,3 不正解,自己の行動を主観的に分析する。,自己を客観的に理解することが自己覚知であり、主観的に分析するというのは、不適切である。,
第32回：令和元年度（2020年）,問題3 人間関係とコミュニケーション,他者とのコミュニケーションを通した自己覚知として、最も適切なものを１つ選びなさい。,4 不正解,自己の私生活を打ち明ける。,自己の私生活など、自分自身に関する情報を、本人の意思のもとに特定の他者に伝えることを、自己開示という。自己開示によって情報が共有され、相互理解が深まるが、これと自己覚知とは異なる。,
第32回：令和元年度（2020年）,問題3 人間関係とコミュニケーション,他者とのコミュニケーションを通した自己覚知として、最も適切なものを１つ選びなさい。,5 不正解,自己の価値観を他者に合わせる。,自己覚知によって自分の感情をよく理解し、行動をコントロールすることは、利用者との信頼関係を構築するために必要不可欠であるが、それは自己の価値観を他者に合わせるということではない。,
